 VISCOSITY_V               ModuleTurbulence          Do not have               From File                 0.00000000000000                                             YES
 MIXLENGTH_V               ModuleTurbulence          10.0000000000000          From File                 10.0000000000000                                             YES
 Background_Viscosity      ModuleTurbulence          1.300000000000000E-006    From File                 1.300000000000000E-006                                       YES
 MAX_VISC_VERT             ModuleTurbulence          10.0000000000000          From File                 10.0000000000000                                             YES
 CONST_MIXING_LENGTH_HORIZ ModuleTurbulence          Do not have               From File                 -9.900000000000000E+015                                      YES
 NYQUIST                   ModuleTurbulence          2.00000000000000          From File                 2.00000000000000                                             YES
 IN_DAD3D                  Unknown Client            Do not have               From File                 ..\data\Hydrodynamic_1.dat                                   YES
 OUT_DESF                  Unknown Client            Do not have               From File                 ..\res\Hydrodynamic_1.hdf                                    YES
 OUT_FIN                   Unknown Client            Do not have               From File                 ..\res\Hydrodynamic_1.fin                                    YES
 IN_CNDI                   Unknown Client            Do not have               From File                 ************                                                 YES
 ROOT_SRT                  Unknown Client            Do not have               From File                 ..\res\Run1\                                                 YES
 BAROCLINIC                ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 CONTINUOUS                ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 READ_CONTINUOUS_FORMAT    ModuleHydrodynamic        1                         From File                 1                                                            YES
 WRITE_CONTINUOUS_FORMAT   ModuleHydrodynamic        1                         From File                 1                                                            YES
 CONTINUOUS_FORMAT         ModuleHydrodynamic        1                         From File                 1                                                            YES
 TIDE                      ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 ENTERING_WAVE             ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 RADIATION                 ModuleHydrodynamic        0                         From File                 0                                                            YES
 WATER_DISCHARGES          ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 RESIDUAL                  ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 RESTART_RESIDUAL          ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 ENERGY                    ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 UP_CENTER                 ModuleHydrodynamic        1.00000000000000          From File                 1.00000000000000                                             YES
 IMPLICIT_VERTADVECTION    ModuleHydrodynamic        1.00000000000000          From File                 1.00000000000000                                             YES
 IMPLICIT_VERTCONVECTION   ModuleHydrodynamic        1.00000000000000          From File                 1.00000000000000                                             YES
 IMPLICIT_VERTDIFFUSION    ModuleHydrodynamic        1.00000000000000          From File                 1.00000000000000                                             YES
 DISCRETIZATION            ModuleHydrodynamic        2.00000000000000          From File                 2.00000000000000                                             YES
 UPSTREAM                  ModuleHydrodynamic        Upwind                    From File                 Upwind                                                       YES
 TIME_SERIE                ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 OUTPUT_PROFILE            ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 OUTPUT_WATER_LEVEL_UNITS  ModuleHydrodynamic        1                         From File                 1                                                            YES
 OUTPUT_FLOOD_RISK         ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 EVOLUTION                 ModuleHydrodynamic        Solve_Equations           From File                 Solve_Equations                                              YES
 CORIOLIS                  ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 VOLUMEVARIATION           ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 HORIZONTALADVECTION       ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 HORIZONTALCONVECTION      ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 HORIZONTALDIFFUSION       ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 INITIAL_ELEVATION         ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
 INITIAL_ELEVATION_VALUE   ModuleHydrodynamic        0.00000000000000          From File                 0.00000000000000                                             YES
 INITIAL_VEL_U             ModuleHydrodynamic        0.00000000000000          From File                 0.00000000000000                                             YES
 INITIAL_VEL_V             ModuleHydrodynamic        0.00000000000000          From File                 0.00000000000000                                             YES
 VERTICALADVECTION         ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 VERTICALCONVECTION        ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 VERTICALDIFFUSION         ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 VELTANGENTIALBOUNDARY     ModuleHydrodynamic        2                         From File                 2                                                            YES
 VELNORMALBOUNDARY         ModuleHydrodynamic        2                         From File                 2                                                            YES
 NULL_BOUND_HORADV         ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 NULL_BOUND_HORCONV        ModuleHydrodynamic        TRUE                      From File                 TRUE                                                         YES
 TIDEPOTENTIAL             ModuleHydrodynamic        FALSE                     From File                 FALSE                                                        YES
